sales_date,week_start_date,sku_id,store_id,category_id,category_name,brand,weight_kg,city,region,qty,price,amount,promo,is_holiday
2024-01-05,2024-01-01,64503,215,80001,Ноутбуки,HP,2.51,Київ,Київська область,1,40788.25,40788.25,False,False
2024-01-11,2024-01-08,64501,215,80001,Ноутбуки,ASUS,1.57,Київ,Київська область,2,25378.86,50757.72,False,False
2024-01-23,2024-01-22,64508,312,80002,Смартфони,Google,0.24,Львів,Львівська область,13,9093.81,118219.53,False,False
2024-01-25,2024-01-22,64513,215,80003,Холодильники,Whirlpool,77.35,Київ,Київська область,2,25510.97,51021.94,False,False
2024-01-25,2024-01-22,64505,312,80002,Смартфони,Samsung,0.18,Львів,Львівська область,9,14108.75,126978.75,False,False
2024-01-26,2024-01-22,64504,312,80001,Ноутбуки,Apple,1.41,Львів,Львівська область,9,40034.99,360314.91,False,False
2024-01-26,2024-01-22,64509,312,80002,Смартфони,OnePlus,0.18,Львів,Львівська область,9,31928.78,287359.02,False,False
2024-02-02,2024-01-29,64513,215,80003,Холодильники,Whirlpool,77.35,Київ,Київська область,0,25969.48,0.0,False,False
2024-02-03,2024-01-29,64508,312,80002,Смартфони,Google,0.24,Львів,Львівська область,10,8091.61,80916.1,True,False
2024-02-07,2024-02-05,64503,215,80001,Ноутбуки,HP,2.51,Київ,Київська область,3,40056.01,120168.03,False,False
2024-02-10,2024-02-05,64501,215,80001,Ноутбуки,ASUS,1.57,Київ,Київська область,5,25206.82,126034.1,False,False
2024-02-14,2024-02-12,64502,312,80001,Ноутбуки,Acer,1.85,Львів,Львівська область,4,28179.62,112718.48,False,False
2024-02-17,2024-02-12,64512,215,80003,Холодильники,Bosch,84.47,Київ,Київська область,5,35834.53,179172.65,False,False
2024-02-18,2024-02-12,64509,215,80002,Смартфони,OnePlus,0.18,Київ,Київська область,15,32533.6,488004.0,False,False
2024-02-22,2024-02-19,64512,312,80003,Холодильники,Bosch,84.47,Львів,Львівська область,4,37193.78,148775.12,False,False
2024-02-23,2024-02-19,64514,215,80003,Холодильники,Beko,89.76,Київ,Київська область,5,37486.06,187430.3,False,False
2024-03-05,2024-03-04,64511,215,80003,Холодильники,LG,58.42,Київ,Київська область,3,31023.12,93069.36,False,False
2024-03-07,2024-03-04,64501,215,80001,Ноутбуки,ASUS,1.57,Київ,Київська область,2,26115.45,52230.9,False,False
2024-03-09,2024-03-04,64514,312,80003,Холодильники,Beko,89.76,Львів,Львівська область,2,38069.72,76139.44,False,False
2024-03-23,2024-03-18,64512,215,80003,Холодильники,Bosch,84.47,Київ,Київська область,4,32888.46,131553.84,True,False
2024-03-25,2024-03-25,64512,312,80003,Холодильники,Bosch,84.47,Львів,Львівська область,3,36888.04,110664.12,False,False
2024-04-05,2024-04-01,64508,312,80002,Смартфони,Google,0.24,Львів,Львівська область,11,9120.59,100326.49,False,False
2024-04-06,2024-04-01,64508,215,80002,Смартфони,Google,0.24,Київ,Київська область,9,9316.8,83851.2,False,False
2024-04-07,2024-04-01,64509,215,80002,Смартфони,OnePlus,0.18,Київ,Київська область,6,32424.46,194546.76,False,False
2024-04-12,2024-04-08,64512,215,80003,Холодильники,Bosch,84.47,Київ,Київська область,7,36689.08,256823.56,False,False
2024-04-13,2024-04-08,64501,312,80001,Ноутбуки,ASUS,1.57,Львів,Львівська область,11,25271.21,277983.31,False,False
2024-04-14,2024-04-08,64506,312,80002,Смартфони,Xiaomi,0.24,Львів,Львівська область,16,16795.24,268723.84,False,False
2024-04-16,2024-04-15,64511,215,80003,Холодильники,LG,58.42,Київ,Київська область,2,31825.38,63650.76,False,False
2024-04-23,2024-04-22,64508,215,80002,Смартфони,Google,0.24,Київ,Київська область,16,8482.13,135714.08,True,False
2024-04-23,2024-04-22,64506,312,80002,Смартфони,Xiaomi,0.24,Львів,Львівська область,10,16530.13,165301.3,False,False
2024-05-03,2024-04-29,64508,312,80002,Смартфони,Google,0.24,Львів,Львівська область,12,9005.79,108069.48,False,False
2024-05-04,2024-04-29,64514,312,80003,Холодильники,Beko,89.76,Львів,Львівська область,5,35977.78,179888.9,False,False
2024-05-05,2024-04-29,64502,312,80001,Ноутбуки,Acer,1.85,Львів,Львівська область,6,25368.68,152212.08,True,False
2024-05-23,2024-05-20,64503,312,80001,Ноутбуки,HP,2.51,Львів,Львівська область,4,39847.62,159390.48,False,False
2024-06-03,2024-06-03,64512,312,80003,Холодильники,Bosch,84.47,Львів,Львівська область,1,34149.51,34149.51,True,False
2024-06-05,2024-06-03,64513,215,80003,Холодильники,Whirlpool,77.35,Київ,Київська область,5,25981.19,129905.95,False,False
2024-06-06,2024-06-03,64503,312,80001,Ноутбуки,HP,2.51,Львів,Львівська область,2,40143.15,80286.3,False,False
2024-06-11,2024-06-10,64511,312,80003,Холодильники,LG,58.42,Львів,Львівська область,6,32518.11,195108.66,False,False
2024-06-13,2024-06-10,64506,312,80002,Смартфони,Xiaomi,0.24,Львів,Львівська область,13,16701.31,217117.03,False,False
2024-06-17,2024-06-17,64509,312,80002,Смартфони,OnePlus,0.18,Львів,Львівська область,11,33664.9,370313.9,False,False
2024-06-18,2024-06-17,64504,215,80001,Ноутбуки,Apple,1.41,Київ,Київська область,8,40828.02,326624.16,False,False
2024-06-21,2024-06-17,64501,215,80001,Ноутбуки,ASUS,1.57,Київ,Київська область,5,25274.33,126371.65,False,False
2024-06-22,2024-06-17,64512,215,80003,Холодильники,Bosch,84.47,Київ,Київська область,2,36216.75,72433.5,False,False
2024-06-25,2024-06-24,64503,312,80001,Ноутбуки,HP,2.51,Львів,Львівська область,4,41012.06,164048.24,False,False
2024-06-28,2024-06-24,64502,312,80001,Ноутбуки,Acer,1.85,Львів,Львівська область,9,29567.05,266103.45,False,True
2024-07-04,2024-07-01,64502,312,80001,Ноутбуки,Acer,1.85,Львів,Львівська область,2,27863.84,55727.68,False,False
2024-07-06,2024-07-01,64500,312,80001,Ноутбуки,Lenovo,2.38,Львів,Львівська область,9,23225.68,209031.12,False,False
2024-07-10,2024-07-08,64509,215,80002,Смартфони,OnePlus,0.18,Київ,Київська область,24,33444.88,802677.12,False,False
2024-07-13,2024-07-08,64503,215,80001,Ноутбуки,HP,2.51,Київ,Київська область,4,34689.93,138759.72,True,False
2024-07-14,2024-07-08,64502,312,80001,Ноутбуки,Acer,1.85,Львів,Львівська область,3,28553.34,85660.02,False,False
2024-07-19,2024-07-15,64513,215,80003,Холодильники,Whirlpool,77.35,Київ,Київська область,0,25273.98,0.0,False,False
2024-07-24,2024-07-22,64506,215,80002,Смартфони,Xiaomi,0.24,Київ,Київська область,17,17126.47,291149.99,False,False
2024-08-10,2024-08-05,64509,215,80002,Смартфони,OnePlus,0.18,Київ,Київська область,9,33435.19,300916.71,False,False
2024-08-15,2024-08-12,64501,215,80001,Ноутбуки,ASUS,1.57,Київ,Київська область,7,26393.51,184754.57,False,False
2024-08-15,2024-08-12,64509,215,80002,Смартфони,OnePlus,0.18,Київ,Київська область,9,32267.5,290407.5,False,False
2024-08-15,2024-08-12,64506,312,80002,Смартфони,Xiaomi,0.24,Львів,Львівська область,11,17327.76,190605.36,False,False
2024-08-17,2024-08-12,64506,215,80002,Смартфони,Xiaomi,0.24,Київ,Київська область,10,16812.91,168129.1,False,False
2024-08-28,2024-08-26,64511,215,80003,Холодильники,LG,58.42,Київ,Київська область,0,32289.02,0.0,False,False
2024-08-28,2024-08-26,64510,312,80003,Холодильники,Samsung,62.76,Львів,Львівська область,3,25776.43,77329.29,False,False
2024-09-03,2024-09-02,64509,215,80002,Смартфони,OnePlus,0.18,Київ,Київська область,14,32424.5,453943.0,False,False
2024-09-05,2024-09-02,64512,312,80003,Холодильники,Bosch,84.47,Львів,Львівська область,3,36124.88,108374.64,False,False
2024-09-06,2024-09-02,64509,215,80002,Смартфони,OnePlus,0.18,Київ,Київська область,13,32412.51,421362.63,False,False
2024-09-07,2024-09-02,64511,312,80003,Холодильники,LG,58.42,Львів,Львівська область,1,31910.04,31910.04,False,False
2024-09-12,2024-09-09,64510,215,80003,Холодильники,Samsung,62.76,Київ,Київська область,4,25788.0,103152.0,False,False
2024-09-14,2024-09-09,64500,215,80001,Ноутбуки,Lenovo,2.38,Київ,Київська область,5,20434.5,102172.5,True,False
2024-09-23,2024-09-23,64500,215,80001,Ноутбуки,Lenovo,2.38,Київ,Київська область,3,20711.2,62133.6,True,False
2024-09-23,2024-09-23,64503,312,80001,Ноутбуки,HP,2.51,Львів,Львівська область,4,40632.39,162529.56,False,False
2024-09-27,2024-09-23,64502,215,80001,Ноутбуки,Acer,1.85,Київ,Київська область,5,28683.99,143419.95,False,False
