promo_id,sku_id,store_id,start_date,end_date,discount_pct,reason
5072,64501,312,2024-01-02,2024-01-09,25,Чорна п'ятниця
5018,64501,312,2024-01-07,2024-01-11,15,Святковий розпродаж
5040,64514,215,2024-01-07,2024-01-13,10,Сезонна акція
5034,64504,215,2024-01-08,2024-01-13,25,Liquidation
5074,64507,215,2024-01-08,2024-01-14,20,Партнерська знижка
5027,64509,312,2024-01-20,2024-01-24,25,Святковий розпродаж
5080,64500,215,2024-01-22,2024-01-26,25,Чорна п'ятниця
5016,64500,312,2024-01-27,2024-01-31,10,Cyber Monday
5050,64508,312,2024-01-30,2024-02-02,5,Liquidation
5079,64511,312,2024-02-02,2024-02-09,5,Сезонна акція
5081,64501,312,2024-02-02,2024-02-04,20,Святковий розпродаж
5010,64506,312,2024-02-06,2024-02-11,15,Cyber Monday
5003,64514,215,2024-02-07,2024-02-08,30,Знижка тижня
5082,64506,215,2024-02-10,2024-02-15,25,Сезонна акція
5029,64510,215,2024-02-13,2024-02-15,30,Чорна п'ятниця
5048,64510,312,2024-02-16,2024-02-22,10,Сезонна акція
5068,64509,312,2024-02-19,2024-02-25,20,Знижка тижня
5025,64508,312,2024-02-20,2024-02-25,10,Liquidation
5052,64513,215,2024-02-28,2024-02-29,25,Сезонна акція
5063,64508,215,2024-03-02,2024-03-08,10,Знижка тижня
5096,64510,215,2024-03-17,2024-03-21,30,Cyber Monday
5031,64511,215,2024-03-18,2024-03-24,25,Сезонна акція
5035,64514,312,2024-03-18,2024-03-20,5,Сезонна акція
5041,64513,215,2024-03-21,2024-03-25,20,Святковий розпродаж
5090,64503,215,2024-03-23,2024-03-28,15,Сезонна акція
5046,64500,312,2024-03-28,2024-04-01,15,Чорна п'ятниця
5033,64500,312,2024-03-29,2024-04-03,25,Cyber Monday
5066,64510,215,2024-04-07,2024-04-14,10,Сезонна акція
5075,64507,215,2024-04-07,2024-04-12,25,Чорна п'ятниця
5095,64514,312,2024-04-14,2024-04-15,5,Партнерська знижка
5092,64509,215,2024-04-19,2024-04-22,30,Святковий розпродаж
5099,64514,312,2024-04-26,2024-05-01,15,Знижка тижня
5023,64506,215,2024-04-26,2024-04-27,5,Cyber Monday
5083,64508,312,2024-04-29,2024-05-04,15,Чорна п'ятниця
5086,64509,215,2024-04-29,2024-05-03,15,Партнерська знижка
5008,64504,215,2024-05-06,2024-05-10,25,Чорна п'ятниця
5006,64512,312,2024-05-09,2024-05-11,20,Сезонна акція
5020,64510,312,2024-05-09,2024-05-12,10,Чорна п'ятниця
5004,64506,215,2024-05-10,2024-05-13,20,Святковий розпродаж
5053,64513,312,2024-05-10,2024-05-13,20,Святковий розпродаж
5042,64511,312,2024-05-15,2024-05-19,20,Чорна п'ятниця
5088,64514,312,2024-05-23,2024-05-26,5,Знижка тижня
5060,64514,215,2024-05-25,2024-06-01,25,Чорна п'ятниця
5002,64501,312,2024-05-26,2024-06-02,10,Чорна п'ятниця
5056,64503,215,2024-06-02,2024-06-05,5,Liquidation
5026,64510,215,2024-06-03,2024-06-05,5,Cyber Monday
5094,64509,312,2024-06-04,2024-06-06,30,Cyber Monday
5038,64503,215,2024-06-06,2024-06-10,20,Liquidation
5077,64509,215,2024-06-17,2024-06-21,25,Святковий розпродаж
5097,64502,215,2024-06-19,2024-06-26,5,Партнерська знижка
5049,64500,312,2024-06-22,2024-06-27,15,Святковий розпродаж
5051,64512,312,2024-06-24,2024-06-29,30,Cyber Monday
5073,64508,215,2024-06-29,2024-07-03,20,Cyber Monday
5087,64513,312,2024-07-07,2024-07-09,5,Святковий розпродаж
5065,64501,215,2024-07-09,2024-07-13,15,Святковий розпродаж
5076,64514,215,2024-07-14,2024-07-19,5,Чорна п'ятниця
5078,64505,312,2024-07-15,2024-07-21,5,Святковий розпродаж
5007,64501,215,2024-07-25,2024-07-29,5,Чорна п'ятниця
5070,64504,215,2024-07-29,2024-08-01,30,Cyber Monday
5037,64505,312,2024-07-31,2024-08-06,5,Знижка тижня
5015,64509,215,2024-08-01,2024-08-08,20,Cyber Monday
5014,64502,312,2024-08-05,2024-08-06,10,Святковий розпродаж
5093,64514,215,2024-08-11,2024-08-18,25,Святковий розпродаж
5017,64513,312,2024-08-13,2024-08-19,10,Сезонна акція
5030,64513,312,2024-08-23,2024-08-27,10,Cyber Monday
5071,64500,312,2024-08-23,2024-08-26,25,Cyber Monday
5084,64503,312,2024-08-24,2024-08-25,5,Партнерська знижка
5057,64506,215,2024-08-25,2024-08-26,20,Сезонна акція
5039,64506,312,2024-08-27,2024-08-29,25,Сезонна акція
5061,64512,312,2024-09-01,2024-09-03,20,Партнерська знижка
5085,64500,215,2024-09-01,2024-09-04,25,Знижка тижня
5043,64512,312,2024-09-04,2024-09-08,30,Сезонна акція
5047,64503,312,2024-09-07,2024-09-11,25,Партнерська знижка
5009,64500,312,2024-09-08,2024-09-15,25,Святковий розпродаж
5058,64506,215,2024-09-19,2024-09-24,20,Знижка тижня
5045,64502,215,2024-09-21,2024-09-26,25,Чорна п'ятниця
5044,64504,215,2024-09-21,2024-09-23,20,Знижка тижня
5024,64509,312,2024-09-25,2024-10-01,20,Чорна п'ятниця
5091,64511,215,2024-09-30,2024-10-04,30,Liquidation
5032,64500,215,2024-10-03,2024-10-10,15,Знижка тижня
5005,64513,215,2024-10-03,2024-10-04,30,Сезонна акція
5062,64508,215,2024-10-04,2024-10-10,25,Cyber Monday
5054,64510,312,2024-10-11,2024-10-12,25,Cyber Monday
5069,64511,312,2024-10-14,2024-10-21,25,Liquidation
5036,64514,215,2024-10-20,2024-10-26,10,Партнерська знижка
5059,64514,312,2024-10-26,2024-11-01,20,Знижка тижня
5064,64502,215,2024-10-30,2024-11-03,10,Знижка тижня
5022,64509,215,2024-11-08,2024-11-14,20,Cyber Monday
5013,64509,215,2024-11-08,2024-11-10,20,Святковий розпродаж
5021,64506,215,2024-11-09,2024-11-10,5,Сезонна акція
5011,64504,312,2024-11-22,2024-11-28,5,Партнерська знижка
5019,64514,215,2024-11-25,2024-11-28,25,Liquidation
5000,64500,312,2024-11-28,2024-12-01,5,Liquidation
5012,64512,312,2024-11-30,2024-12-07,10,Знижка тижня
5089,64500,312,2024-12-03,2024-12-07,10,Liquidation
5028,64508,312,2024-12-14,2024-12-18,25,Партнерська знижка
5055,64510,312,2024-12-19,2024-12-20,30,Знижка тижня
5098,64508,312,2024-12-20,2024-12-25,15,Знижка тижня
5067,64501,312,2024-12-24,2024-12-25,10,Партнерська знижка
5001,64511,215,2024-12-25,2024-12-30,5,Сезонна акція
