inventory_id,snapshot_date,sku_id,store_id,qty_on_hand,qty_in_transit,last_updated_ts
200059,2024-01-02,64507,215,43,2,2024-01-02 17:00:00
200074,2024-01-10,64507,312,76,19,2024-01-10 04:00:00
200052,2024-01-12,64501,215,26,31,2024-01-12 12:00:00
200064,2024-01-12,64512,215,56,30,2024-01-12 17:00:00
200054,2024-01-13,64509,215,75,20,2024-01-13 05:00:00
200014,2024-01-15,64510,312,41,12,2024-01-15 22:00:00
200038,2024-01-21,64509,312,60,0,2024-01-21 21:00:00
200020,2024-01-22,64506,312,47,33,2024-01-22 15:00:00
200079,2024-01-24,64509,312,44,25,2024-01-24 10:00:00
200041,2024-01-29,64501,312,41,21,2024-01-29 12:00:00
200021,2024-01-30,64501,215,34,30,2024-01-30 02:00:00
200044,2024-02-13,64506,215,18,7,2024-02-13 06:00:00
200062,2024-02-13,64511,215,55,3,2024-02-13 19:00:00
200068,2024-02-18,64512,215,79,34,2024-02-18 00:00:00
200025,2024-02-20,64508,312,7,3,2024-02-20 23:00:00
200003,2024-02-25,64504,215,27,38,2024-02-25 01:00:00
200016,2024-02-26,64506,215,55,29,2024-02-26 09:00:00
200026,2024-02-26,64509,312,60,8,2024-02-26 12:00:00
200051,2024-02-26,64514,312,10,1,2024-02-26 14:00:00
200083,2024-03-04,64502,215,40,36,2024-03-04 13:00:00
200069,2024-03-04,64505,215,72,1,2024-03-04 07:00:00
200043,2024-03-04,64501,312,63,26,2024-03-04 12:00:00
200050,2024-03-17,64504,312,10,28,2024-03-17 02:00:00
200072,2024-03-17,64514,312,26,13,2024-03-17 23:00:00
200086,2024-03-18,64508,312,77,22,2024-03-18 01:00:00
200027,2024-03-19,64511,215,69,17,2024-03-19 17:00:00
200008,2024-03-25,64502,312,19,10,2024-03-25 08:00:00
200039,2024-03-30,64500,312,0,17,2024-03-30 21:00:00
200073,2024-03-31,64506,215,3,8,2024-03-31 18:00:00
200070,2024-04-01,64500,215,4,5,2024-04-01 15:00:00
200015,2024-04-02,64503,215,5,2,2024-04-02 02:00:00
200095,2024-04-08,64503,312,24,6,2024-04-08 20:00:00
200091,2024-04-12,64512,312,66,2,2024-04-12 01:00:00
200001,2024-04-24,64501,215,19,6,2024-04-24 12:00:00
200053,2024-04-26,64505,312,69,7,2024-04-26 14:00:00
200000,2024-05-02,64509,215,32,27,2024-05-02 14:00:00
200023,2024-05-03,64504,215,70,6,2024-05-03 19:00:00
200028,2024-05-05,64512,312,54,14,2024-05-05 22:00:00
200045,2024-05-05,64514,312,58,35,2024-05-05 20:00:00
200056,2024-05-11,64510,312,22,21,2024-05-11 23:00:00
200094,2024-05-12,64509,215,32,21,2024-05-12 11:00:00
200035,2024-05-12,64507,312,22,4,2024-05-12 20:00:00
200024,2024-05-14,64509,215,30,23,2024-05-14 18:00:00
200013,2024-05-14,64513,312,50,25,2024-05-14 22:00:00
200011,2024-05-16,64510,215,75,16,2024-05-16 05:00:00
200036,2024-05-20,64512,312,23,34,2024-05-20 13:00:00
200090,2024-05-23,64502,312,5,1,2024-05-23 05:00:00
200066,2024-05-24,64503,312,62,3,2024-05-24 17:00:00
200076,2024-05-26,64514,312,30,22,2024-05-26 12:00:00
200006,2024-05-31,64509,312,4,1,2024-05-31 23:00:00
200029,2024-06-01,64500,312,18,11,2024-06-01 10:00:00
200004,2024-06-06,64504,312,4,28,2024-06-06 17:00:00
200087,2024-06-17,64511,312,54,31,2024-06-17 01:00:00
200093,2024-06-19,64509,312,46,2,2024-06-19 07:00:00
200047,2024-06-21,64500,215,40,14,2024-06-21 16:00:00
200089,2024-06-21,64500,215,53,15,2024-06-21 23:00:00
200058,2024-06-22,64510,312,68,21,2024-06-22 00:00:00
200002,2024-06-27,64512,215,2,30,2024-06-27 15:00:00
200080,2024-07-09,64510,312,24,6,2024-07-09 14:00:00
200065,2024-07-10,64501,215,62,16,2024-07-10 20:00:00
200009,2024-07-25,64513,215,41,9,2024-07-25 15:00:00
200096,2024-07-29,64506,215,34,27,2024-07-29 19:00:00
200012,2024-08-03,64511,312,37,29,2024-08-03 14:00:00
200060,2024-08-05,64507,215,10,11,2024-08-05 02:00:00
200033,2024-08-09,64508,215,63,19,2024-08-09 21:00:00
200022,2024-08-16,64503,215,23,19,2024-08-16 13:00:00
200042,2024-08-21,64504,312,36,22,2024-08-21 08:00:00
200098,2024-08-23,64500,312,78,0,2024-08-23 18:00:00
200018,2024-08-24,64506,215,16,26,2024-08-24 17:00:00
200088,2024-08-26,64502,312,66,5,2024-08-26 16:00:00
200077,2024-09-06,64509,312,60,31,2024-09-06 02:00:00
200010,2024-09-07,64504,312,78,22,2024-09-07 09:00:00
200084,2024-09-09,64506,215,56,14,2024-09-09 17:00:00
200057,2024-09-09,64507,312,18,32,2024-09-09 23:00:00
200097,2024-09-14,64510,312,43,10,2024-09-14 06:00:00
200017,2024-09-26,64508,215,52,24,2024-09-26 14:00:00
200055,2024-09-29,64500,312,44,31,2024-09-29 02:00:00
200063,2024-09-30,64506,215,27,10,2024-09-30 21:00:00
200019,2024-09-30,64506,312,23,35,2024-09-30 12:00:00
