store_id,sku_id,category,Fct,St,GiT,SS_Fct,Q
215,64500,Ноутбуки,68.4,30.0,15.0,0.0,23.0
215,64501,Ноутбуки,88.99000000000001,40.0,20.0,0.0,29.0
215,64502,Ноутбуки,151.65,74.0,37.0,4.0,45.0
215,64503,Ноутбуки,117.47,57.0,28.0,3.0,35.0
215,64504,Ноутбуки,114.13,53.0,26.0,1.0,36.0
215,64505,Смартфони,215.4,114.0,57.0,4.0,48.0
215,64506,Смартфони,254.39,154.0,77.0,6.0,29.0
215,64507,Смартфони,293.87,176.0,88.0,9.0,39.0
215,64508,Смартфони,229.57,126.0,63.0,1.0,42.0
215,64509,Смартфони,467.19,228.0,114.0,8.0,133.0
215,64510,Холодильники,90.30000000000001,45.0,22.0,1.0,24.0
215,64511,Холодильники,113.55,52.0,26.0,3.0,39.0
215,64512,Холодильники,77.13,31.0,16.0,1.0,31.0
215,64513,Холодильники,66.38,26.0,13.0,0.0,27.0
215,64514,Холодильники,66.1,30.0,15.0,0.0,21.0
312,64500,Ноутбуки,67.14999999999999,20.0,10.0,0.0,37.0
312,64501,Ноутбуки,67.75,28.0,14.0,0.0,26.0
312,64502,Ноутбуки,112.36,56.0,28.0,3.0,31.0
312,64503,Ноутбуки,88.55,39.0,20.0,0.0,30.0
312,64504,Ноутбуки,85.27,34.0,17.0,1.0,35.0
312,64505,Смартфони,131.5,68.0,34.0,1.0,30.0
312,64506,Смартфони,220.32999999999998,110.0,55.0,3.0,58.0
312,64507,Смартфони,225.0,120.0,60.0,3.0,48.0
312,64508,Смартфони,136.49,70.0,35.0,3.0,34.0
312,64509,Смартфони,311.45,160.0,80.0,7.0,78.0
312,64510,Холодильники,66.25,26.0,13.0,0.0,27.0
312,64511,Холодильники,86.79,42.0,21.0,1.0,25.0
312,64512,Холодильники,65.94,23.0,12.0,0.0,31.0
312,64513,Холодильники,65.4,22.0,11.0,0.0,32.0
312,64514,Холодильники,65.4,18.0,9.0,0.0,38.0
